gene_id,CD4_positive_naive_resting_alpha_beta_T_cell,CD8_positive_naive_resting_alpha_beta_T_cell,hippocampus,heart,gastrocnemius,monocyte,neutrophil,T_cell,left_cerebral_cortex,adrenal_gland,B_cell
ENSMUSG00000081201.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0
ENSMUSG00000082193.1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032769.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.0
ENSMUSG00000088159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000073737.3,0.0,0.0,0.18,0.0,0.35,0.0,0.0,0.0,0.04,0.0,0.0
ENSMUSG00000092083.4,0.0,0.0,5.26,0.02,0.0,0.01,0.0,0.0,8.13,0.15,0.0
ENSMUSG00000102937.1,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0
ENSMUSG00000104149.1,0.09,0.16,0.26,0.02,0.01,0.26,0.03,0.0,0.3,0.03,0.12
ENSMUSG00000088829.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000077377.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000101652.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000100814.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025925.14,14.96,11.19,4.71,1.93,1.26,8.99,11.61,13.69,4.19,2.96,14.11
ENSMUSG00000104379.1,0.79,1.08,0.62,0.07,0.14,0.4,0.5,2.3,0.81,0.11,1.48
ENSMUSG00000032719.4,0.0,0.0,0.1,0.02,0.11,0.0,0.0,0.0,0.13,1.1,0.02
ENSMUSG00000088943.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000100652.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000067795.13,0.07,0.03,0.63,0.0,0.0,0.0,0.14,0.0,0.21,0.0,0.0
ENSMUSG00000043716.13,965.31,1029.67,164.96,254.36,180.44,515.67,245.48,1019.85,148.88,353.48,728.63
ENSMUSG00000025921.7,1.99,2.29,2.59,1.21,0.76,4.42,1.7,2.54,2.11,2.33,2.46
ENSMUSG00000104165.1,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0
ENSMUSG00000100868.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025920.19,0.52,1.14,69.38,21.54,15.54,2.1,0.19,0.84,78.84,14.51,2.22
ENSMUSG00000089982.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025939.18,8.25,9.1,29.84,5.96,3.46,12.44,8.87,8.87,25.05,17.06,16.34
ENSMUSG00000102457.1,0.02,0.08,0.11,0.02,0.0,0.02,0.09,0.11,0.14,0.08,0.12
ENSMUSG00000079658.9,38.44,31.97,58.95,46.66,44.26,29.9,23.42,32.51,56.44,55.96,31.96
ENSMUSG00000097744.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04
ENSMUSG00000100959.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
ENSMUSG00000025940.6,4.6,6.33,13.38,36.12,17.4,5.39,2.57,5.78,13.59,31.73,5.29
ENSMUSG00000025779.10,0.46,0.47,0.47,2.02,0.13,8.71,5.9,0.61,1.15,6.92,2.94
ENSMUSG00000100093.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000091020.3,0.18,0.74,0.4,0.17,0.35,0.55,0.7,0.55,0.3,0.29,0.46
ENSMUSG00000101640.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104133.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000042686.5,0.0,0.03,14.73,8.9,100.25,0.01,0.02,0.0,6.14,0.34,0.28
ENSMUSG00000100110.1,0.0,0.0,0.37,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025777.8,0.0,0.0,24.22,0.01,4.76,0.0,0.03,0.0,24.11,1.95,0.0
ENSMUSG00000099899.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
ENSMUSG00000100272.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000100398.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000101589.1,0.02,0.13,0.04,0.02,0.01,0.02,0.0,0.09,0.01,0.01,0.08
ENSMUSG00000102048.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000089534.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000067780.3,0.0,0.0,0.16,0.51,0.15,0.0,0.0,0.0,0.03,0.22,0.0
ENSMUSG00000100053.1,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0
ENSMUSG00000085125.7,0.04,0.0,0.3,0.04,0.03,0.0,0.0,0.0,0.19,0.02,0.0
ENSMUSG00000025776.13,0.04,0.0,1.53,0.65,0.29,0.02,0.02,0.0,1.61,0.99,0.0
